City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Santa Rosalia,MX,27.3167,-112.2833,59.65,49,24,1.86,few clouds
327,Staritsa,RU,56.5075,34.9354,20.48,91,100,12.75,overcast clouds
328,Mildura,AU,-34.2,142.15,93.07,25,2,5.75,clear sky
329,Andenes,NO,69.3143,16.1194,22.98,68,100,5.75,overcast clouds
330,Abu Samrah,SY,35.3029,37.1841,38.61,83,56,6.13,broken clouds
331,Cururupu,BR,-1.8283,-44.8683,72.12,98,100,1.99,moderate rain
332,Hofn,IS,64.2539,-15.2082,32.23,62,100,7.36,overcast clouds
333,Kungurtug,RU,50.5994,97.5228,-8.25,89,39,1.16,scattered clouds
334,Santa Maria,BR,-29.6842,-53.8069,63.99,77,0,6.8,clear sky
335,Srednyaya Yelyuzan,RU,53.0241,45.9529,23.27,97,100,3.44,light snow
336,Manokwari,ID,-0.8667,134.0833,84.43,68,100,10.36,light rain
337,Oussouye,SN,12.485,-16.5469,68.18,53,68,10.71,broken clouds
338,Rockhampton,AU,-23.3833,150.5,87.69,58,100,11.5,overcast clouds
339,Padang,ID,-0.9492,100.3543,84.25,80,98,1.43,overcast clouds
340,Saldanha,ZA,-33.0117,17.9442,60.85,84,0,10.49,clear sky
341,Radviliskis,LT,55.8167,23.5333,35.65,93,75,19.57,broken clouds
342,Sinjar,IQ,36.3209,41.8754,39.85,74,100,1.03,overcast clouds
